Afghanistan,Kabul
Algeria,Algiers
Angola,Luanda
Argentina,Buenos Aires
Australia,Canberra
Azerbaijan,Baku
Bahamas,Nassau
Bangladesh,Dhaka
Belarus,Minsk
Belize,Belmopan
Bhutan,Thimphu
Bosnia and Herzegovina,Sarajevo
Brazil,Brasilia
Bulgaria,Sofia
Burundi,Gitega
Cabo Verde,Praia
Cameroon,Yaounde
Central African Republic,Bangui
Chile,Santiago
Colombia,Bogotá
Congo, Democratic Republic of the
Costa Rica,San Jose
Croatia,Zagreb
Cyprus,Nicosia
Denmark,Copenhagen
Dominica,Roseau
Ecuador,Quito
El Salvador,San Salvador
Eritrea,Asmara
Eswatini,Mbabane/Lobamba
Fiji,Suva
France,Paris
Gabon,Libreville
Georgia,Tbilisi
Ghana,Accra
Grenada,Saint George's
Guinea,Conakry
Guyana,Georgetown
Haiti,Port-au-Prince
Hungary,Budapest
Iceland,Reykjavik
Indonesia,Jakarta
Iraq,Baghdad
Israel,Jerusalem
Jamaica,Kingston
Jordan,Amman
Kazakhstan,Nur-Sultan
Kiribati,Tarawa
Kuwait,Kuwait City
Laos,Vientiane
Lebanon,Beirut
Liberia,Monrovia
Liechtenstein,Vaduz
Luxembourg,Luxembourg (city)
Madagascar,Antananarivo
Malaysia,Kuala Lumpur
Mali,Bamako
Marshall Islands,Majuro
Mauritius,Port Louis
Micronesia,Palikir
Monaco,Monaco
Montenegro,Podgorica
Mozambique,Maputo
Namibia,Windhoek
Nepal,Kathmandu
New Zealand,Wellington
Niger,Niamey
North Korea,Pyongyang
Norway,Oslo
Oman,Muscat
Pakistan,Islamabad
Palestine,Jerusalem (East)
Papua New Guinea,Port Moresby
Peru,Lima
Poland,Warsaw
Qatar,Doha
Romania,Bucharest
Rwanda,Kigali
Saint Kitts and Nevis,Basseterre
Saint Vincent and the Grenadines,Kingstown
San Marino,San Marino
Saudi Arabia,Riyadh
Serbia,Belgrade
Sierra Leone,Freetown
Slovakia,Bratislava
Solomon Islands,Honiara
South Africa,Pretoria(administrative)/Cape Town(legislative)/Bloemfontein(judicial)
South Sudan,Juba
Sri Lanka,Sri Jayawardenepura Kotte
Suriname,Paramaribo
Sweden,Stockholm
Syria,Damascus
Taiwan,Taipei
Tanzania,Dodoma
Timor-Leste,Dili
Tonga,Nukuʻalofa
Tunisia,Tunis
Turkmenistan,Ashgabat
Uganda,Kampala
United Arab Emirates,Abu Dhabi
United States of America,Washington D.C.
Uzbekistan,Tashkent
Vanuatu,Port Vila
Venezuela,Caracas
Yemen,Sana'a
Zambia,Lusaka
