Pong,Atari
Zork,Infocom
Space Invaders,Taito
Asteroids,Atari
Adventure,Atari
Missile Command,Atari
Pac-Man,Namco
Defender,Williams Entertainment
Donkey Kong,Nintendo
Galaga,Namco
Joust,Williams Entertainment
Ms. Pac-Man,Midway
Pitfall!,Activision
Robotron: 2084,Williams Entertainment
Elite,Acornsoft
Marble Madness,Atari Games
Tetris,Elorg
Gauntlet,Atari Games
Super Mario Bros.,Nintendo
Bubble Bobble,Taito
The Legend of Zelda,Nintendo
Out Run,Sega
Contra,Konami
Double Dragon,Technos Japan
Mike Tyson's Punch-Out!!,Nintendo
R-Type,Irem
Mega Man 2,Capcom
Super Mario Bros. 3,Nintendo
Prince of Persia,Broderbund
SimCity,Maxis
The Secret of Monkey Island,LucasArts
Super Mario World,Nintendo
Another World,Delphine Software
Civilization,MicroProse
The Legend of Zelda: A Link to the Past,Nintendo
Lemmings,Psygnosis
Monkey Island 2: LeChuck's Revenge,LucasArts
Sonic the Hedgehog,Sega
Street Fighter II,Capcom
Mortal Kombat,Midway
Sonic the Hedgehog 2,Sega
Super Mario Kart,Nintendo
Wolfenstein 3D,Apogee Software
Day of the Tentacle,LucasArts
Daytona USA,Sega
Doom,id Software
The Legend of Zelda: Link's Awakening,Nintendo
Mortal Kombat II,Midway
Myst,Broderbund
NBA Jam,Midway
Phantasy Star IV,Sega
Sam & Max Hit the Road,LucasArts
Secret of Mana,Square
SimCity 2000,Maxis
Star Fox,Nintendo
Syndicate,Electronic Arts
Donkey Kong Country,Nintendo
EarthBound,Nintendo
Final Fantasy VI,Square
Star Wars: TIE Fighter,LucasArts
Super Metroid,Nintendo
UFO: Enemy Unknown,MicroProse
Chrono Trigger,Square
Warcraft II: Tides of Darkness,Blizzard Entertainment
Yoshi's Island,Nintendo
Civilization II,MicroProse
Command & Conquer: Red Alert,Virgin Interactive
Duke Nukem 3D,GT Interactive
Nights into Dreams...,Sega
Pokémon Red and Blue,Nintendo
Quake,GT Interactive
Resident Evil,Capcom
Super Mario 64,Nintendo
Tomb Raider,Eidos Interactive
Castlevania: Symphony of the Night,Konami
Diablo,Blizzard Entertainment
Fallout,Interplay Entertainment
Final Fantasy Tactics,Square
Final Fantasy VII,Square
GoldenEye 007,Nintendo
Gran Turismo,Sony Computer Entertainment
Star Fox 64,Nintendo
Star Wars Jedi Knight: Dark Forces II,LucasArts
Tekken 3,Namco
Fallout 2,Interplay Entertainment
Grim Fandango,LucasArts
Half-Life,Sierra Studios
The Legend of Zelda: Ocarina of Time,Nintendo
Metal Gear Solid,Konami
Panzer Dragoon Saga,Sega
Resident Evil 2,Capcom
SoulCalibur,Namco
StarCraft,Blizzard Entertainment
Thief: The Dark Project,Eidos Interactive
Age of Empires II,Microsoft Game Studios
EverQuest,Sony Online Entertainment
Homeworld,Sierra Studios
Planescape: Torment,Interplay Entertainment
Quake III: Arena,Activision
Shenmue,Sega
System Shock 2,Electronic Arts
Unreal Tournament,GT Interactive
Baldur's Gate II: Shadows of Amn,Black Isle Studios
Counter-Strike,Valve
Deus Ex,Eidos Interactive
Diablo II,Blizzard Entertainment
Jet Set Radio,Sega
