aerosol can,Erik Rotheim
air conditioning,Willis Haviland Carrier
airbag automotive,John Hetrick
airplane engine-powered,Wilbur & Orville Wright
airship,Henri Giffard
alphabet,Semitic-speaking peoples
American Sign Language,Thomas H. Gallaudet
animation motion-picture,J. Stuart Blackton
answering machine telephone,Valdemar Poulsen
aspartame,James Schlatter
aspirin,Felix Hoffmann (Bayer)
assembly line,Henry Ford
AstroTurf,James M. Faria Robert T. Wright
audiotape,Fritz Pfleumer
automated teller machine (ATM),Don Wetzel
automobile,Gottlieb Daimler
baby food prepared,Dorothy Gerber
bag flat-bottomed paper,Margaret Knight
Bakelite,Leo Hendrik Baekeland
ball bearing,Philip Vaughan
balloon hot-air,Joseph & Ã‰tienne Montgolfier
bandage adhesive,Earle Dickson
bar code,Joseph Woodland
barbed wire,Joseph Glidden 
barometer,Evangelista Torricelli
battery electric storage,Alessandro Volta
beer,Sumerians Babylonians
bicycle,Baron Karl de Drais de Sauerbrun
bifocal lens,Benjamin Franklin
bikini,Louis RÃ©ard
blood bank,Charles Richard Drew
blow-dryer,Racine Universal Motor Co. Hamilton Beach Manufacturing Co.
bomb atomic,J. Robert Oppenheimer et al.
bomb thermonuclear (hydrogen),Edward Teller et al.
boomerang,Aboriginal peoples
Braille system,Louis Braille
brassiere (bra),Mary Phelps Jacob
bread sliced (bread-slicing machine),Otto Frederick Rohwedder
button,Greeks Etruscans
calculator electronic hand-held,Jack S. Kilby
calculus,Sir Isaac Newton and Gottfried Wilhelm Leibniz (invented separately)
calendar modern (Gregorian),Pope Gregory XIII
camcorder,Sony Corp.
camera motion picture,Thomas Alva Edison William K.L. Dickson
camera portable photographic,George Eastman
can metal beverage,American Can Co.
can opener,Ezra J. Warner
canning food,Nicolas Appert
carbon-14 dating,Willard F. Libby
cardboard corrugated,Albert Jones
cash register,James Ritty
cat litter,Edward Lowe
catalog mail-order,Aaron Montgomery Ward
cellophane,Jacques E. Brandenberger
celluloid,John Wesley Hyatt
cement portland,Joseph Aspdin
cereal flakes breakfast,John Harvey Kellogg
chewing gum (modern),Thomas Adams
chocolate,Maya Aztecs
chronometer,John Harrison
clock pendulum,Christiaan Huygens
clock quartz,Warren A. Marrison
cloning animal,John B. Gurdon
coffee drip,Melitta Bentz
coffee decaffeinated,Ludwig Roselius
coins,Lydians
compact disc (CD),Philips Electronics Sony Corp.
computed tomography (CT scan CAT scan),Godfrey Hounsfield Allan Cormack
computer electronic digital,John V. Atanasoff Clifford E. Berry
computer laptop,Radio Shack Corp.
computer personal,MITS (Micro Instrumentation Telemetry Systems)
concrete reinforced,Joseph Monier
contact lenses,Adolf Fick
contraceptives oral,Gregory Pincus John Rock
corn hybrid,Donald F. Jones
correction fluid white,Bette Nesmith
cotton gin,Eli Whitney
coupon grocery,Asa Candler
crayons children's wax,Edwin Binney C. Harold Smith
cream separator (dairy processing),Carl Gustaf Patrik de Laval
